2106 83.831916666 -5.296166666 P
2187 83.831125 -5.259083333 P
2193 83.832666666 -5.252361111 P
2221 83.93775 -5.232083333 P
2236 83.836375 -5.223222222 P
2237 83.833916666 -5.220972222 P
2254 83.847208333 -5.200861111 P
2255 83.357958333 -5.200722222 P
2259 83.778875 -5.197277777 P
2268 83.852416666 -5.191583333 P
2279 83.853041666 -5.175055555 P
2282 83.862375 -5.171444444 P
2287 83.864833333 -5.169083333 P
2288 83.85375 -5.167083333 P
2289 83.862791666 -5.166777777 P
2293 83.8625 -5.165027777 P
2300 83.839791666 -5.16075 P
2302 83.865125 -5.159305555 P
2305 83.861833333 -5.156833333 P
2321 83.844541666 -5.142777777 P
2323 83.85125 -5.141833333 P
2324 83.855083333 -5.14 P
2332 83.856708333 -5.132583333 P
2351 83.856 -5.114694444 P
2355 83.853583333 -5.105944444 P
2361 83.861083333 -5.102861111 P
2366 83.859 -5.096472222 P
2367 83.881375 -5.096444444 P
2369 83.857583333 -5.095444444 P
2378 83.854916666 -5.085944444 P
2382 83.866458333 -5.082805555 P
2385 83.832166666 -5.081833333 P
2393 83.982208333 -5.077111111 P
2405 83.862166666 -5.068472222 P
2407 83.860708333 -5.065305555 P
2408 83.867416666 -5.061361111 P
2427 83.848541666 -5.027861111 P
2433 83.847791666 -5.024638888 P
2437 83.843458333 -5.020583333 P
2440 83.833166666 -5.017388888 P
2441 83.893625 -5.014444444 P
2442 83.828791666 -5.014138888 P
2446 83.826333333 -5.009166666 P
2451 83.812625 -5.002277777 P
2453 83.817291666 -5.000638888 P
2456 83.8925 -4.997833333 P
2458 83.874208333 -4.997527777 P
2469 83.873833333 -4.980222222 P
2510 83.622916666 -4.925166666 P
2527 83.78425 -4.902694444 P
2561 83.646583333 -4.871638888 P
2593 83.77825 -4.833833333 P
2649 83.8845 -4.780138888 P
2690 83.92675 -4.715833333 P
2707 83.84725 -4.669583333 P
2748 84.126458333 -4.538 P
2827 85.2155 -2.446833333 P
2830 85.370583333 -2.388722222 P
2837 85.35975 -2.305555555 P
2838 85.321541666 -2.302111111 P
2842 85.346958333 -2.293277777 P
2846 85.404875 -2.288055555 P
2853 85.434125 -2.268805555 P
2854 85.350875 -2.268444444 P
2855 85.43575 -2.268416666 P
2857 85.436541666 -2.265361111 P
2859 85.093375 -2.261027777 P
